ngens,dimension,crossover_type,tsize,pmut,mean,std
10,6,order1_crossover,8,1.0,2.283510204310325,1.0217562718683502
100,6,uniform_crossover,2,0.1,0.012221144919820404,0.010829991798616217
100,6,uniform_crossover,2,0.4,0.0482667352821494,0.023129294874004974
100,6,uniform_crossover,2,0.7,0.5362788369247156,0.42338330967999394
100,6,uniform_crossover,2,1.0,0.9594572324825805,0.20492390260128152
100,6,uniform_crossover,4,0.1,0.35244406341954715,0.39871334195668073
100,6,uniform_crossover,4,0.4,0.39956026484898927,0.48692364044658054
100,6,uniform_crossover,4,0.7,0.034893390126596556,0.020102033421113816
100,6,uniform_crossover,4,1.0,0.45349248235700373,0.12548741957978257
100,6,uniform_crossover,6,0.1,0.4419874777542375,0.5562789017143254
100,6,uniform_crossover,6,0.4,0.4193200247196188,0.7908304868902981
100,6,uniform_crossover,6,0.7,0.199748378309539,0.39779586796806204
100,6,uniform_crossover,6,1.0,0.7535622694996192,0.8313042542114156
100,6,uniform_crossover,8,0.1,1.459242484545038,0.5173726676043938
100,6,uniform_crossover,8,0.4,0.4372403770560524,0.48449519715812067
100,6,uniform_crossover,8,0.7,0.39908077048578433,0.4872192025042175
100,6,uniform_crossover,8,1.0,0.3623199002591278,0.05379561953221284
100,6,order1_crossover,2,0.1,1.0150386520387529,0.8873628093951941
100,6,order1_crossover,2,0.4,0.845123856542213,0.3937508291476049
100,6,order1_crossover,2,0.7,3.416526954573932,1.1029122515093959
100,6,order1_crossover,2,1.0,4.869109081151562,1.3091474774311962
100,6,order1_crossover,4,0.1,0.9635577701038145,0.3234413272407492
100,6,order1_crossover,4,0.4,0.4082833296164097,0.4889592765537972
100,6,order1_crossover,4,0.7,1.22828876516013,0.40120529568181573
100,6,order1_crossover,4,1.0,2.718614272963238,0.3804716968228136
100,6,order1_crossover,6,0.1,0.6503967264202629,0.5336189465794833
100,6,order1_crossover,6,0.4,1.0426207721439256,0.030280019796496492
100,6,order1_crossover,6,0.7,0.9524968034802,0.5179184372206678
100,6,order1_crossover,6,1.0,1.7791687426334222,0.7074680649110648
100,6,order1_crossover,8,0.1,0.7467381454814983,0.8503727608326065
100,6,order1_crossover,8,0.4,0.8823724426102615,0.6887731123435236
100,6,order1_crossover,8,0.7,0.44125068037616727,0.5050418414771589
100,6,order1_crossover,8,1.0,1.3579125459655075,0.46675395764591354
1000,6,uniform_crossover,2,0.1,4.7833894194976505,2.772308505638942
1000,6,uniform_crossover,2,0.4,5.373587487291234,3.424817182989483
1000,6,uniform_crossover,2,0.7,5.398481336699669,2.938449734142617
1000,6,uniform_crossover,2,1.0,3.8424537193187036,1.2504356138424968
