ngens,dimension,c1,c2,w,mean,std
100,6,0.375,0.625,0.125,2.5882574908756295,1.9484669787234778
100,6,0.375,0.625,0.375,3.3828597878960265,1.845372186139642
100,6,0.375,0.625,0.625,7.760674599944774,3.796516987691585
100,6,0.375,0.625,0.875,0.8114248923854476,0.7377407369598443
100,6,0.375,0.875,0.125,3.1838689826985287,1.4622852029035414
100,6,0.375,0.875,0.375,4.377817836082846,1.734768543924901
100,6,0.375,0.875,0.625,4.775801458920162,1.160309606301871
100,6,0.375,0.875,0.875,1.9610085545142781,0.9169389048350082
100,6,0.625,0.125,0.125,14.467460272041166,1.1605919792782902
100,6,0.625,0.125,0.375,10.024333725299028,3.1652577019763566
100,6,0.625,0.125,0.625,5.55217464831604,3.176274445016828
100,6,0.625,0.125,0.875,2.7862821690662445,1.5142755278315918
100,6,0.625,0.375,0.125,4.064490093628923,1.9680777163779948
100,6,0.625,0.375,0.375,5.770766016730571,2.6992590812971895
100,6,0.625,0.375,0.625,2.3945271777142865,1.3477274540857074
100,6,0.625,0.375,0.875,1.7674655884592325,0.5101288756055327
100,6,0.625,0.625,0.125,5.0192320344659915,2.5533574827631265
100,6,0.625,0.625,0.375,2.9848771712798694,0.6292673598056611
100,6,0.625,0.625,0.625,3.1838689863621665,0.744559175229981
100,6,0.625,0.625,0.875,2.0081952193952675,0.6299667558241996
100,6,0.625,0.875,0.125,1.9899181141865854,1.2585347196113132
100,6,0.625,0.875,0.375,4.178827032228003,2.1246493490577194
100,6,0.625,0.875,0.625,1.7909579024108226,1.5919161740358654
100,6,0.625,0.875,0.875,1.4835130029316772,0.8765140361344831
100,6,0.875,0.125,0.125,12.88591538180053,3.0755344996431058
100,6,0.875,0.125,0.375,9.655118494745896,1.0789919985403997
100,6,0.875,0.125,0.625,6.376907562950871,1.6099563936792336
100,6,0.875,0.125,0.875,3.649664707729504,0.9050922235368878
100,6,0.875,0.375,0.125,4.7016435348662595,1.5493429645398118
100,6,0.875,0.375,0.375,2.9848839883991927,0.6292764526799286
100,6,0.875,0.375,0.625,1.5782323646060945,0.9087525817936375
100,6,0.875,0.375,0.875,1.453915167734435,1.2174527117676368
100,6,0.875,0.625,0.125,1.5937990818689827,1.1933222246149702
100,6,0.875,0.625,0.375,2.785890563404847,1.1603128519125405
100,6,0.875,0.625,0.625,1.9906898887886257,0.629268837735011
100,6,0.875,0.625,0.875,0.4404472532352003,0.47852476703741714
100,6,0.875,0.875,0.125,1.9899182978098948,1.0899228855606682
100,6,0.875,0.875,0.375,1.989918115110875,1.0899230387281307
100,6,0.875,0.875,0.625,1.392942680058931,1.0146631294155832
100,6,0.875,0.875,0.875,0.880794593364422,0.34961829980467635
1000,6,0.125,0.125,0.125,12.06866610831978,4.7195792570090145
1000,6,0.125,0.125,0.375,11.203612894997335,4.922533342493272
1000,6,0.125,0.125,0.625,7.384443947777394,2.8024598356391004
1000,6,0.125,0.125,0.875,6.7657165504152985,1.4622824606630762
1000,6,0.125,0.375,0.125,9.623000239240671,1.910933392706779
1000,6,0.125,0.375,0.375,7.479627347389934,1.2344191197613217
1000,6,0.125,0.375,0.625,8.755632649475782,2.9109953142967884
1000,6,0.125,0.375,0.875,5.372776893176136,1.4891162079427336
1000,6,0.125,0.625,0.125,5.449448952324874,2.7022455868599207
1000,6,0.125,0.625,0.375,10.347658482194035,5.788053164395825
1000,6,0.125,0.625,0.625,8.755611408616582,8.521826426163045
1000,6,0.125,0.625,0.875,4.974792262775006,4.53770549858994
1000,6,0.125,0.875,0.125,9.731180762278267,6.988110119230112
1000,6,0.125,0.875,0.375,15.123338281724049,6.730485373142887
1000,6,0.125,0.875,0.625,5.173784074193664,3.3534656075084324
1000,6,0.125,0.875,0.875,4.576809647501504,2.4854045885941702
1000,6,0.375,0.125,0.125,16.995793293572568,2.3907579546025084
1000,6,0.375,0.125,0.375,13.335211448500269,3.3307861395308045
1000,6,0.375,0.125,0.625,9.037572886688618,2.6412934044285583
1000,6,0.375,0.125,0.875,2.068685936522698,1.023925198601661
1000,6,0.375,0.375,0.125,7.903390620342276,5.107507521667454
1000,6,0.375,0.375,0.375,10.07495173898732,3.718143258999356
1000,6,0.375,0.375,0.625,10.14857189133174,4.377810830964252
1000,6,0.375,0.375,0.875,3.581852605535846,1.6166171181732545
1000,6,0.375,0.625,0.125,6.979498296176859,1.4491869210315227
1000,6,0.375,0.625,0.375,5.771370852478671,2.0294284072247297
1000,6,0.375,0.625,0.625,7.5616665945751524,4.938808821191976
1000,6,0.375,0.625,0.875,2.984876163716055,1.5413819921733638
1000,6,0.375,0.875,0.125,7.763160271766905,4.530330652786975
1000,6,0.375,0.875,0.375,11.342519135882469,1.6166106544669112
1000,6,0.375,0.875,0.625,8.755631641910435,3.8994213976192427
1000,6,0.375,0.875,0.875,2.387900729460081,1.4891166118667158
1000,6,0.625,0.125,0.125,18.843772373690058,1.23233084245357
1000,6,0.625,0.125,0.375,15.255012457049556,5.744455236175474
1000,6,0.625,0.125,0.625,5.5769716626398065,2.038774258900867
1000,6,0.625,0.125,0.875,0.960984849135994,0.5035593228300518
1000,6,0.625,0.375,0.125,9.37766671839332,4.9769111025268655
1000,6,0.625,0.375,0.375,8.47602487074518,3.0259769358603013
1000,6,0.625,0.375,0.625,5.571761649556083,3.592881597493155
1000,6,0.625,0.375,0.875,2.1889099256052376,0.7445591811021488
1000,6,0.625,0.625,0.125,7.755440107538421,3.7385396130080277
1000,6,0.625,0.625,0.375,6.566731056370877,2.3206182890163167
1000,6,0.625,0.625,0.625,3.9798352208093446,1.08992119917701
1000,6,0.625,0.625,0.875,2.1889099256052376,0.7445591811021488
