ngens,dimension,L,mean,std
100,6,18.0,43.52340740058425,20.77883370472653
100,6,19.0,41.98053493378853,22.67902862835756
100,6,20.0,42.00686279216795,19.049191710969563
100,6,21.0,42.41548910945208,22.243561877066746
100,6,22.0,44.14870737078045,19.651939452766335
100,6,23.0,42.15114809492567,20.698426437795472
100,6,24.0,43.377710678482686,18.385660840764633
100,6,25.0,43.378687584463606,21.757295160718233
100,6,26.0,44.14447092685498,20.09115443566464
100,6,27.0,42.40491191203893,20.835446938966967
100,6,28.0,43.16399032927368,22.710761071259203
100,6,29.0,41.136517973645425,20.141342785659862
100,6,30.0,42.19243367151556,19.12291265031595
100,6,31.0,42.19159102140087,19.923447615733693
100,6,32.0,43.69210559346158,20.130136837417663
100,6,33.0,44.19213419502215,20.575152665811352
100,6,34.0,42.43622807943874,23.140009742161283
100,6,35.0,38.37039276755447,20.779995813079882
100,6,36.0,41.79814358294451,22.696026948980393
100,6,37.0,41.319203692326575,21.582195091548332
100,6,38.0,42.58504550732676,20.257088311811014
100,6,39.0,40.79113487747391,22.10166442612753
100,6,40.0,36.61981253990372,18.786162970377738
100,6,41.0,38.6612589055076,16.721668910490457
100,6,42.0,34.85110487628974,17.46461761045649
100,6,43.0,42.517536289975546,20.117130488454197
100,6,44.0,41.73220118646144,21.76741543622489
100,6,45.0,39.973334211879475,14.03406275153732
100,6,46.0,39.5870984912328,18.56315620677141
100,6,47.0,40.13015851070654,18.05756945756907
100,6,48.0,38.420252002533026,18.82054840946486
100,6,49.0,44.36563893206851,22.217907361886873
100,6,50.0,37.98322903746987,19.901010525496755
100,6,51.0,43.1603779377095,20.544435626899165
100,6,52.0,42.36774984265383,23.088256014707476
100,6,53.0,39.005945079082174,19.69795627207728
100,6,54.0,39.62390951783649,21.279137383570927
100,6,55.0,38.4538110027092,15.898739730573176
100,6,56.0,34.427711328746476,18.188448220463204
100,6,57.0,44.61208430587472,20.89535911855968
100,6,58.0,43.74305588282948,24.741277934409204
